"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Np Likeness Score";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key";"Inchi";"Withdrawn Flag";"Orphan";"Records Key";"Records Name"
"CHEMBL2361869";"";"";"Small molecule";"";"328.27";"1";"1";"-5.44";"189.53";"11";"8";"2";"4";"N";"0.25";"11.14";"None";"-4.26";"-4.26";"0";"MOL";"-1";"22";"11";"8";"2";"328.1006";"2.13";"NEUTRAL";"C11H20O11";"OC[C@H]1O[C@H](O[C@@]2(CO)O[C@@H](O)[C@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O";"GQAXOLSLDHMBOF-ONNOSSBFSA-N";"InChI=1S/C11H20O11/c12-1-3-4(14)5(15)6(16)10(20-3)22-11(2-13)8(18)7(17)9(19)21-11/h3-10,12-19H,1-2H2/t3-,4-,5+,6-,7-,8+,9-,10-,11-/m1/s1";"False";"-1";"['SID144205445']";"['SID144205445']"
"CHEMBL576934";"";"";"Small molecule";"";"461.21";"1";"1";"-1.04";"223.37";"11";"6";"2";"6";"N";"0.28";"-0.27";"4.91";"-4.84";"-7.04";"2";"MOL";"-1";"29";"14";"7";"2";"461.0313";"0.81";"ACID";"C11H15F2N5O9P2";"Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)C(F)(F)P(=O)(O)O)[C@@H](O)[C@H]1O";"ZNUHGMUPPMHQFK-KQYNXXCUSA-N";"InChI=1S/C11H15F2N5O9P2/c12-11(13,28(21,22)23)29(24,25)26-1-4-6(19)7(20)10(27-4)18-3-17-5-8(14)15-2-16-9(5)18/h2-4,6-7,10,19-20H,1H2,(H,24,25)(H2,14,15,16)(H2,21,22,23)/t4-,6-,7-,10-/m1/s1";"False";"-1";"['AMPCF2P']";"["adenosine-5'-O-alpha,beta-difluoromethylenediphosphate"]"
"CHEMBL3962116";"";"";"Small molecule";"";"478.41";"1";"2";"-0.24";"199.51";"12";"7";"2";"5";"N";"0.24";"6.37";"None";"-0.65";"-1.71";"3";"MOL";"-1";"34";"12";"7";"2";"478.1111";"2.13";"ACID";"C22H22O12";"COc1cc(O)cc2oc(-c3ccc(O)c(O)c3)c(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(=O)c12";"HJOBXPHWOUTSLV-LFXZADKFSA-N";"InChI=1S/C22H22O12/c1-31-12-5-9(24)6-13-15(12)17(28)21(20(32-13)8-2-3-10(25)11(26)4-8)34-22-19(30)18(29)16(27)14(7-23)33-22/h2-6,14,16,18-19,22-27,29-30H,7H2,1H3/t14-,16-,18+,19-,22+/m1/s1";"False";"-1";"['11a']";"['Azaleatin 3-O-glucoside']"
"CHEMBL3780067";"";"";"Small molecule";"";"447.39";"1";"1";"-2.37";"201.44";"12";"6";"2";"8";"N";"0.18";"11.95";"None";"-1.38";"-1.38";"1";"MOL";"-1";"31";"13";"6";"2";"447.1377";"0.85";"NEUTRAL";"C18H25NO12";"C[C@@H](O)[C@@H]1O[C@@H](OC[C@@H](O)[C@@H]2O[C@@H](Oc3ccc([N+](=O)[O-])cc3)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O";"BUCQGMGVTYHBOE-PHFSVQGVSA-N";"InChI=1S/C18H25NO12/c1-7(20)15-11(22)13(24)17(30-15)28-6-10(21)16-12(23)14(25)18(31-16)29-9-4-2-8(3-5-9)19(26)27/h2-5,7,10-18,20-25H,6H2,1H3/t7-,10-,11-,12-,13-,14-,15+,16+,17-,18-/m1/s1";"False";"-1";"['6']";"['p-Nitrophenyl beta-D-fucofuranosyl-(1->6)-beta-D-galactofuranoside']"
"CHEMBL516621";"";"Isohamnetin 3-O-Galactoside";"Small molecule";"";"478.41";"2";"2";"-0.24";"199.51";"12";"7";"2";"5";"N";"0.25";"6.37";"None";"0.00";"-1.14";"3";"MOL";"-1";"34";"12";"7";"2";"478.1111";"2.05";"ACID";"C22H22O12";"COc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)ccc1O";"CQLRUIIRRZYHHS-UVHBULKNSA-N";"InChI=1S/C22H22O12/c1-31-12-4-8(2-3-10(12)25)20-21(17(28)15-11(26)5-9(24)6-13(15)32-20)34-22-19(30)18(29)16(27)14(7-23)33-22/h2-6,14,16,18-19,22-27,29-30H,7H2,1H3/t14-,16+,18+,19-,22+/m1/s1";"False";"-1";"['isohamnetin 3-O-galactoside', '9b']";"['isohamnetin 3-O-galactoside', 'isorhamnetin 3-O-galactoside']"
"CHEMBL334216";"";"";"Small molecule";"";"398.34";"2";"6";"-2.84";"237.87";"13";"6";"2";"6";"N";"0.17";"-10.33";"0.82";"-2.24";"-2.35";"2";"MOL";"-1";"28";"15";"7";"2";"398.1298";"0.55";"ACID";"C13H18N8O7";"[N-]=[N+]=NCC(O)Cn1c(=O)n(C2OC(CO)[C@@H](O)[C@H]2O)c2nc(N)nc(O)c21";"RPHKAABMUTXJJU-DKOOZZDZSA-N";"InChI=1S/C13H18N8O7/c14-12-17-9-6(10(26)18-12)20(2-4(23)1-16-19-15)13(27)21(9)11-8(25)7(24)5(3-22)28-11/h4-5,7-8,11,22-25H,1-3H2,(H3,14,17,18,26)/t4?,5?,7-,8-,11?/m1/s1";"False";"-1";"['29']";"['2-Amino-7-(3-azido-2-hydroxy-propyl)-9-((3R,4S)-3,4-dihydroxy-5-hydroxymethyl-tetrahydro-furan-2-yl)-7,9-dihydro-1H-purine-6,8-dione']"
"CHEMBL3358631";"";"";"Small molecule";"";"424.36";"1";"1";"-1.04";"208.37";"11";"9";"2";"4";"N";"0.21";"6.64";"None";"0.46";"-0.54";"2";"MOL";"-1";"30";"11";"9";"2";"424.1006";"1.84";"NEUTRAL";"C19H20O11";"O=C(c1ccc(O)c(O)c1)c1c(O)cc(O)c([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c1O";"VYGJDASIWDWDAM-ZJKJAXBQSA-N";"InChI=1S/C19H20O11/c20-5-11-15(26)17(28)18(29)19(30-11)13-10(24)4-9(23)12(16(13)27)14(25)6-1-2-7(21)8(22)3-6/h1-4,11,15,17-24,26-29H,5H2/t11-,15-,17+,18-,19+/m1/s1";"False";"-1";"['2']";"['3-C-beta-D-glucopyranosylmaclurin']"
"CHEMBL2042299";"";"";"Small molecule";"";"442.48";"5";"6";"-0.60";"186.46";"11";"6";"2";"7";"N";"0.26";"12.39";"6.61";"-0.66";"-0.67";"3";"MOL";"-1";"32";"12";"8";"2";"442.2077";"-0.05";"NEUTRAL";"C20H26N8O4";"CCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)nc(NCCc4ccc(N)cc4)nc32)[C@H](O)[C@@H]1O";"JGZBBSGVGDLNCI-QCUYGVNKSA-N";"InChI=1S/C20H26N8O4/c1-2-23-18(31)15-13(29)14(30)19(32-15)28-9-25-12-16(22)26-20(27-17(12)28)24-8-7-10-3-5-11(21)6-4-10/h3-6,9,13-15,19,29-30H,2,7-8,21H2,1H3,(H,23,31)(H3,22,24,26,27)/t13-,14+,15-,19+/m0/s1";"False";"-1";"['8b']";"["2-(2-(4-Aminophenyl))ethylaminoadenosine-5'-N-ethylcarboxamide"]"
"CHEMBL3326050";"";"";"Small molecule";"";"429.38";"4";"5";"-1.68";"186.45";"11";"6";"2";"6";"N";"0.28";"0.42";"8.57";"-4.54";"-4.71";"1";"MOL";"-1";"30";"12";"6";"2";"429.1271";"1.44";"ZWITTERION";"C18H23NO11";"COc1c(O)c(CN(C)CC(=O)O)c2c(c1O)[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1OC2=O";"HAQFBADZLWIKMX-PTRDAGTJSA-N";"InChI=1S/C18H23NO11/c1-19(4-8(21)22)3-6-9-10(13(25)16(28-2)11(6)23)15-17(30-18(9)27)14(26)12(24)7(5-20)29-15/h7,12,14-15,17,20,23-26H,3-5H2,1-2H3,(H,21,22)/t7-,12-,14+,15+,17-/m1/s1";"False";"-1";"['4k']";"['2-(methyl(((2R,3S,4S,4aR,10bS)-3,4,8,10-tetrahydroxy-2-(hydroxymethyl)-9-methoxy-6-oxo-2,3,4,4a,6,10b-hexahydropyrano[3,2-c]isochromen-7-yl)methyl)amino)acetic acid']"
"CHEMBL2326830";"";"";"Small molecule";"";"459.42";"4";"8";"-5.15";"265.08";"16";"10";"2";"9";"N";"0.12";"10.72";"4.58";"-4.84";"-4.87";"2";"MOL";"-1";"32";"16";"11";"2";"459.1714";"0.89";"NEUTRAL";"C16H25N7O9";"Nc1nc(N/N=C/[C@@H](O)[C@H](O)[C@@H](O)[C@@H](O)CO)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O";"RLCQGQPGSYBEDP-JQPUYDDXSA-N";"InChI=1S/C16H25N7O9/c17-13-8-14(23(4-18-8)15-12(31)11(30)7(3-25)32-15)21-16(20-13)22-19-1-5(26)9(28)10(29)6(27)2-24/h1,4-7,9-12,15,24-31H,2-3H2,(H3,17,20,21,22)/b19-1+/t5-,6+,7-,9+,10+,11-,12-,15-/m1/s1";"False";"-1";"['15']";"['(2S,3S,4S,5R,E)-6-(2-(6-Amino-9-((2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)tetrahydrofuran-2-yl)-9H-purin-2-yl)hydrazono)hexane-1,2,3,4,5-pentaol']"
